2025-10-26T21:34:52.000000000Z [inf]  Starting Container
2025-10-26T21:35:04.311875133Z [err]    schema: undefined,
2025-10-26T21:35:04.311881741Z [err]    table: undefined,
2025-10-26T21:35:04.311882459Z [err]  [MESSAGE-QUEUE] Processing error: error: relation "message_queue" does not exist
2025-10-26T21:35:04.311888721Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-10-26T21:35:04.311891936Z [err]    column: undefined,
2025-10-26T21:35:04.311896957Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-10-26T21:35:04.311903001Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-10-26T21:35:04.311909145Z [err]      at async MessageQueueService.dequeue (file:///app/dist/index.js:2528:26)
2025-10-26T21:35:04.311914646Z [err]      at async MessageQueueService.processNext (file:///app/dist/index.js:2596:27)
2025-10-26T21:35:04.311921187Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:2586:13) {
2025-10-26T21:35:04.311927026Z [err]    length: 113,
2025-10-26T21:35:04.311932207Z [err]    severity: 'ERROR',
2025-10-26T21:35:04.311937102Z [err]    code: '42P01',
2025-10-26T21:35:04.311942329Z [err]    detail: undefined,
2025-10-26T21:35:09.307266826Z [err]    line: '1449',
2025-10-26T21:35:09.307276369Z [err]    routine: 'parserOpenTable'
2025-10-26T21:35:09.307281447Z [err]  }
2025-10-26T21:35:09.307337309Z [err]  [MESSAGE-QUEUE] Processing error: error: relation "message_queue" does not exist
2025-10-26T21:35:09.307341183Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-10-26T21:35:09.307345110Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-10-26T21:35:09.307349475Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-10-26T21:35:09.307353678Z [err]      at async MessageQueueService.dequeue (file:///app/dist/index.js:2528:26)
2025-10-26T21:35:09.307359232Z [err]      at async MessageQueueService.processNext (file:///app/dist/index.js:2596:27)
2025-10-26T21:35:09.307363397Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:2586:13) {
2025-10-26T21:35:09.307367308Z [err]    length: 113,
2025-10-26T21:35:09.307372155Z [err]    severity: 'ERROR',
2025-10-26T21:35:09.307377813Z [err]    code: '42P01',
2025-10-26T21:35:09.307382657Z [err]    detail: undefined,
2025-10-26T21:35:09.307386682Z [err]    hint: undefined,
2025-10-26T21:35:09.307391022Z [err]    position: '131',
2025-10-26T21:35:09.307394753Z [err]    internalPosition: undefined,
2025-10-26T21:35:09.307398644Z [err]    internalQuery: undefined,
2025-10-26T21:35:09.307403357Z [err]    where: undefined,
2025-10-26T21:35:09.307407433Z [err]    schema: undefined,
2025-10-26T21:35:09.307413303Z [err]    table: undefined,
2025-10-26T21:35:09.307417220Z [err]    column: undefined,
2025-10-26T21:35:09.307421428Z [err]    dataType: undefined,
2025-10-26T21:35:09.307425686Z [err]    constraint: undefined,
2025-10-26T21:35:09.307429646Z [err]    file: 'parse_relation.c',
2025-10-26T21:35:09.572392478Z [err]  ⚠️ Retry attempt 5/5 failed: {
2025-10-26T21:35:09.572399521Z [err]    code: '42P01',
2025-10-26T21:35:09.572404457Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:35:09.572409570Z [err]    nextRetryIn: '16000ms'
2025-10-26T21:35:09.572413958Z [err]  }
